SC,JP,EN,VN,Comment
敌52]身为红魔馆的主人，邀请到的肯定都是贵客呢。,敌52]紅魔館の主人たる者、招いた客は皆貴賓よ。,"敌52]As the lord of Scarlet Devil Mansion, my guests will surely be of the highest distinction.","敌52]Thân là chủ nhân của Hồng Ma Quán, những người mời đến chắc chắc đều là khách quý đó.",
自3]什么啊，外面的妖怪都一副要造反的样子了啊。,自3]なによ、外の妖怪はみんな暴動してるみたいよ。,自3]The Youkai outside have gone crazy.,"自3]Cái gì cơ, yêu quái bên ngoài trông toàn là muốn gây loạn không à.",
敌51]那肯定是太过兴奋了，连我都被感染到了呀。,敌51]それは興奮しすぎだろう、わたくしですら移ってしまったよ。,敌51]That is because they are overwhelmed by excitement... It's quite touching.,"敌51]Vậy thì chắc chắn là hưng phấn thái quá rồi, ngay cả ta cũng bị lây mất rồi này.",
自2]不管怎么样，现在就给我立马停下啊！,自2]どうでもいい、今すぐ止めろよ！,自2]I don't care. Just stop it! Now!,"自2]Thế nào cũng được, bây giờ hãy lập tức dừng lại cho ta!",
MUSIC,MUSIC,MUSIC,MUSIC,
敌50]已经不可能了哦，邀请都发出去了~,敌50]もう無理よ、招待状は送ったし～,"敌50]I'm afraid that is impossible now, for the invitation has been sent.","敌50]Đã không thể nào nữa rồi, lời mời cũng phát đi rồi~",
自3]总之给我快住手，不然的话……,自3]とにかくやめろ、さもないと…,"自3]You stop it, or I'm going to...","自3]Tóm lại mau dừng tay cho ta, bằng không thì…",
敌54]很抱歉，今天也是满月喔……,敌54]ごめんね、今日も満月よ…,敌54]I'm sorry but tonight is also a full moon...,"敌54]Thật là có lỗi, hôm nay cũng là trăng tròn đó…",
敌54]我也已经有段时间没有好好活动一下了呢。,敌54]暫くいい運動しなかったよ、わたくし。,敌54]It's been a while since the last time I stretched out.,敌54]Ta cũng đã có một khoảng thời gian chưa vận động ngon lành một chút rồi nhỉ.,
自0]看来你已经做好被我再打趴下的觉悟了啊。,自0]どうやらまたやられる覚悟ができたわよね。,自0]Seems like you've made up your mind.,自0]Xem ra ngươi đã sẵn sàng tinh thần để bị ta đánh sấp mặt nữa nhể.,
敌52]那么，就在这绯红的月色下开始我华丽的弹幕祭典吧！,敌52]さあ、緋色の月の下に始めよう！わたくしの華麗なる弾幕祭りを！,"敌52]Then, let's start the grand danmaku festival under this scarlet moon!","敌52]Nào, dưới ánh trăng đỏ thắm này, chúng ta hãy bắt đầu lễ hội đạn mạc hoa lệ đi!",
,,,,
d612.txt,,,,
自0]呼，终于现身了！,自0]ふう、ようやく現れやがったな！,自0]Finally!,"自0]Phù, rốt cuộc ngươi cũng ra mặt rồi!",
敌51]呀，好久不见呢~,敌51]やあ、久しぶりね～,"敌51]Hey, it's been a while!","敌51]Í dza, lâu lắm không gặp nhỉ~",
自1]看来不用推理了呢……,自1]推理も要らねえな…,自1]I think I'm going to skip trying to reason with you...,自1]Xem ra khỏi cần suy luận rồi nhể…,
自1]显然你就是异变的源头吧！,自1]明らかに異変の元凶だな！,自1]You are clearly the cause of all this!,自1]Hiển nhiên ngươi chính là ngọn nguồn của dị biến!,
敌53]诶？说什么呢，异变那种事我已经没兴趣做了喔。,敌53]え？何を言うの、異変なんてもう興味ないよ。,敌53]What are you talking about? I'm doing nothing wrong here.,"敌53]Hể? Nói cái gì vậy, ba cái dị biến đó ta đã chả còn hứng thú mà làm rồi.",
自1]什么嘛，我明明看见妖怪在朝你这里聚集啊。,自1]なにをいう、妖怪がお前んちに集まるのを見たんだよ。,自1]I saw the Youkai gathering to you here.,"自1]Cái gì hả, ta rõ ràng nhìn thấy yêu quái đang tụ tập về nơi này của ngươi.",
敌50]他们只不过是我邀请来的客人而已，我这有上好的红茶款待喔。,敌50]招かれた客だけよ。こっちには特級の紅茶が振る舞いよ。,敌50]They are my guests. I'm bringing out my best tea set.,"敌50]Bọn họ chẳng qua chỉ là khách ta mời tới mà thôi, đây ta có thết đãi hồng trà thượng hảo đó.",
自2]是么？不好意思，看来泡茶的已经被我打跑了呢……,自2]そうかい？わりいな、茶を淹れるヤツはもう俺様に追い払われたぜ…,"自2]Oh, yes? Well then, sorry that I drove away the one who could fix you a cup of tea...","自2]Thế sao? Thật ngại quá, xem ra người pha trà đã bị ta đánh chạy rồi…",
敌50]咲夜吗？果然人类还是靠不住呀。,敌50]咲夜か？人間はやはり頼りないね。,敌50]You mean Sakuya? Humans are really quite unreliable.,敌50]Sakuya à? Quả nhiên vẫn chả nhờ cậy được con người.,
自1]不过你看看你都干了些什么啊。,自1]自分のしでかしたことを見てみろよ。,自1]Look what you've done.,自1]Nhưng ngươi nhìn xem ngươi đã gây ra những gì hả.,
敌52]我只是发出邀请而已，不过用了点小技巧嘛。,敌52]ただ招待しただけよ、ちょっとテクニックを使っただけど。,"敌52]I just sent the invitations, with a few little tricks.","敌52]Ta chỉ là phát ra lời mời mà thôi, chẳng qua có dùng chút tí kỹ xảo.",
自0]难怪，我一路上碰见的妖怪都变得很躁动了呢。,自0]道理で途中の妖怪はみな騒いでやがるな。,自0]No wonder the Youkai I met on my way here were all insane.,"自0]Hèn chi, yêu quái mà ta đụng gặp dọc đường đều đã trở nên rất là xao động.",
敌51]或许是因为我有着独特的吸引力喔~,敌51]わたくしの特別な魅力の為かもよ～,敌51]Or perhaps it's just my charm.,敌51]Có lẽ là bởi vì ta có sức hấp dẫn riêng biệt đó~,
自1]能被你吸引还真是“荣幸”啊……,自1]お前に惹きつけられたのはマジで「光栄」だな…,"自1]Oh, I'm so ""honored""...","自1]Có thể được ngươi hấp dẫn thì thật đúng là ""vinh hạnh"" ạ…",
敌50]呵呵，你也不一样被吸引过来了么？,敌50]ふふ、あなたもそうじゃなくて？,"敌50]Hehe, but you're here too, aren't you?","敌50]Hề hề, ngươi cũng chẳng bị hấp dẫn về đây giống thế rồi sao?",
自2]我来只有一个目的，就是解决掉你，然后回去睡觉啦！,自2]俺様の目的は一つだけだ！お前をやっつけて、帰ってぐっすり眠る！,自2]I'm here to take you down before I go to bed.,"自2]Ta tới chỉ có một mục đích, chính là giải quyết bẵng ngươi, sau đó đi về đánh giấc ngủ!",
MUSIC,MUSIC,MUSIC,MUSIC,
敌55]那看来今晚一定是个美好的夜晚呢。,敌55]きっと今宵は素敵な夜になるね。,"敌55]Then, tonight's going to be a wonderful night.",敌55]Vậy xem ra tối nay nhất định là buổi đêm tuyệt vời nhỉ.,
自4]总之打败你就万事大吉了！,自4]とにかくお前を倒したらめでたしめでたし！,"自4]In a word, I just need to destroy you!",自4]Tóm lại đánh bại ngươi thì vạn sự đại cát rồi!,
敌52]那也要小心不能犯下轻敌的错误……,敌52]甘く見る、というミスを犯さないのは前提だけどね…,敌52]I think you should be careful about what you say...,敌52]Vậy cũng nên cẩn thận không thể mắc phải sai lầm khinh địch…,
敌54]因为，今晚也是满月喔~,敌54]だって、今宵も満月よ～,"敌54]Because tonight is the night of the full moon, don't you know?",敌54]Bởi vì.. đêm nay cũng là trăng tròn đó~,
自4]我才不管你们的习性呢，总之赶紧开始吧！,自4]お前らの習性など知るか！とにかくさっさと始めよう！,"自4]I couldn't care less about your sky-gazing habits, let's just get started!","自4]Ta mặc kệ tập tính của các ngươi, tóm lại mau chóng bắt đầu đi thôi!",
敌54]那么，就在这绯红的月色下举办一场华丽的弹幕祭典吧！,敌54]さあ！緋色の月の下に、華麗なる弾幕祭りを開催しよう！,"敌54]Then, it's time for the grand danmaku festival under the scarlet moon!","敌54]Nào, dưới ánh trăng đỏ thắm này, hãy cử hành lễ hội đạn mạc hoa lệ đi!",
,,,,
d613.txt,,,,
自1]这地方，真是诡异……,自1]この場所、まさしく怪奇…,自1]How weird this place has become...,"自1]Chốn này, đúng là kỳ quái…",
敌51]啊啦，是稀客呢~,敌51]あら、珍しい客～,敌51]What a rare guest.,"敌51]Ái chà, là khách hiếm nè~",
自0]似乎是最终BOSS出现了呢。,自0]ラスボスのお出ましのようね。,"自0]Aha, here comes the last boss.",自0]Hình như là BOSS cuối xuất hiện rồi nè.,
敌50]我是这座洋馆的主人——蕾米莉亚斯卡雷特。,敌50]わたくしこそこの館の主――レミリア・スカーレット。,"敌50]I am the lord of this mansion, Remilia Scarlet.",敌50]Ta là Remilia Scarlet - Chủ nhân của tòa dương quán này.,
敌50]你看起来像是人类呢。,敌50]あなたは、人間のように見えるね。,"敌50]You are a human, I suppose?",敌50]Trông ngươi giống như là con người nhỉ.,
自0]被你这样说真是不爽啊，不过我不仅仅是人类呢。,自0]そんな風に言われるのは不愉快ですけど、ただの人間ではありませんよ。,"自0]That's not a polite way of saying it, and I'm not just a human.","自0]Bị ngươi nói như vậy thật là khó chịu, mà ta không chỉ là con người đâu.",
敌52]说的也是，一般的人类早已经被咲夜拦下了。,敌52]それもそうね、ただの人間なら既に咲夜に止められたもの。,敌52]That is reasonable. A normal human would have been stopped by Sakuya.,"敌52]Nói cũng phải, con người thông thường thì đã sớm bị Sakuya cản lại rồi.",
自0]话说回来，异变就是你引起的吧？,自0]話を戻しましょう。異変を起こしたのは貴方でしょう？,"自0]Say, are you the one behind this incident?","自0]Nói đi nói lại, dị biến chính là do ngươi gây nên nhở?",
敌55]怎么会呢，我对异变已经没兴趣了喔。,敌55]まさか。異変にはもう興味がないよ。,"敌55]How could I be the cause, I've moved on from such things.","敌55]Làm sao biết chứ, ta đã đâu còn hứng thú với với dị biến nữa đâu.",
自0]那周围的妖怪为什么会变得狂躁起来呢？,自0]じゃ周りの妖怪はどうして狂暴化したの？,自0]Then tell me why the Youkai have been acting like they're all crazy.,自0]Vậy yêu quái xung quanh tại sao phải hóa điên lên chứ?,
敌50]说起来我察觉到了异样的气息，似乎连通着妖怪之间呢。,敌50]ところで、異常な気配を勘付いた。あれは妖怪同士をリンクしているようだ。,"敌50]Now that you mention it, I came across a strange scent that Youkai love.","敌50]Nhắc tới thì, ta có nhận thấy một hơi khí khác thường, hình như có liên thông giữa các yêu quái.",
自1]是这样吗……,自1]そうですか…,自1]Is that so...,自1]Là như vậy sao…,
敌50]于是我利用这种联系发出了邀请……,敌50]そしてわたくしはそのリンクを利用して誘った。,"敌50]So, I used it to send out my invitations...",敌50]Thế là ta đã lợi dụng mối liên hệ này để phát ra lời mời…,
敌51]其实就是把他们吸引过来呢。,敌51]実のところ、惹きつけた。,敌51]To lure them here.,敌51]Kì thực chính là hấp dẫn bọn chúng đến đây đó.,
自0]说到底还是你引起的对吧。,自0]結局貴方がやったわね。,"自0]So, it was you after all.",自0]Nói cho cùng thì vẫn là ngươi gây nên đúng không.,
敌50]我只是想多邀请一些客人过来一起喝茶而已喔。,敌50]もっと一緒に茶を楽しむ客を招きたいだけよ。,敌50]I just want more guests here to taste my tea.,敌50]Ta chỉ là muốn mời thêm một vài người khách qua đây cùng uống trà mà thôi.,
自0]你还真是唯恐天下不乱啊。,自0]「天下乱れぬことのみぞ恐るる」ね、貴方は。,"自0]You just cannot stand a peaceful Gensokyo, can you?",自0]Thật đúng là thiên hạ bất loạn thì ngươi không chịu nổi à?,
MUSIC,MUSIC,MUSIC,MUSIC,
敌51]对我来说，这实在是很有趣呢~,敌51]わたくしにとって、実に面白いからね。,敌51]It is too much fun for me.,"敌51]Với ta mà nói, điều này thực là rất thú vị đó~",
自3]不管怎么样，为了妖怪的信仰，我是不会放过你的！,自3]世の為妖怪の信仰の為、何としても貴方を見逃せません！,"自3]Whatever, for the faith of Youkai, I'm not letting you get away with this.","自3]Cho dù thế nào, vì tín ngưỡng của yêu quái, ta sẽ không tha cho ngươi đâu!",
敌52]看来你是在小瞧我呢……,敌52]舐めているようだね…,敌52]Are you underestimating me...?,敌52]Xem ra ngươi coi khinh ta à…,
自3]因为我可是不一般的巫女呢……,自3]普通の巫女じゃないからね。,自3]I'm not a regular miko you know...,自3]Bởi vì ta chẳng phải là vu nữ thông thường đâu…,
敌52]这样也会变得更有趣的，因为……,敌52]これではもっと面白くなりそう。だって…,敌52]It keeps getting better and better. Because...,"敌52]Như vậy cũng sẽ trở nên càng thú vị, bởi vì…",
敌54]今晚也是满月！,敌54]今宵も満月！,敌54]Tonight is also a full moon!,敌54]Tối nay cũng là trăng tròn!,
敌54]来吧，准备好迎接命运的嘲弄吧！,敌54]さあ！運命の嘲笑いを受けよう！,敌54]Then come! Prepare to be mocked by destiny!,敌54]Nào! Hãy chuẩn bị nghênh tiếp sự trớ trêu của vận mệnh đi!,
,,,,
d614.txt,,,,
敌50]难得出来呢，帕秋莉。,敌50]せっかく出てきたね、パチュリー。,"敌50]It's rare to see you out, Patchouli.","敌50]Hiếm mà thấy cậu ra ngoài đó, Patchouli.",
自0]蕾米莉亚，你又在搞什么无聊的宴会吗？,自0]レミ、また詰まらない宴会のつもり？,"自0]Are you holding some kind of boring party again, Remilia?","自0]Remilia, cậu lại đang làm cái yến tiệc nhàm chán gì đó sao?",
敌52]当然，因为这是我不多的兴趣呢。,敌52]当然。数少ない趣味だから。,"敌52]Of course, that is one of my few hobbies.","敌52]Đương nhiên, bởi vì đây là hứng thú ít ỏi của tớ.",
自0]不过今晚很特别吧。,自0]でも、今夜は特別よね。,自0]But tonight's special.,自0]Nhưng tối nay rất đặc biệt đó.,
敌50]的确，尤其是那股神秘的气息……,敌50]確かに、特にあの謎の気配…,"敌50]Indeed, especially with that strange scent...","敌50]Chính xác, nhất là làn hơi khí thần bí…",
自0]不如说是像神经毒气一样的东西呢。,自0]と言うより、神経ガスのようなモノか。,自0]Or should I say that nerve gas...,自0]Chi bằng nói rằng nó là môt thứ giống như khí độc thần kinh nhỉ.,
自0]而且奇怪的是只针对妖怪。,自0]更に変なのは妖怪だけに効く。,自0]And it affects only Youkai.,自0]Hơn nữa cái kỳ lạ là chỉ nhằm vào yêu quái.,
敌54]对我来说，这种气息还真是美妙。,敌54]わたくしにとっては、素敵な気配だけど。,"敌54]For me, it is truly intoxicating.","敌54]Với tớ mà nói, loại hơi khí này thật đúng là tuyệt vời.",
自1]看来你兴致还挺高的嘛。,自1]高ぶってるね。,自1]You seem pretty high-spirited.,自1]Xem ra sự hào hứng của cậu rất chi là cao đó.,
自0]不过是时候打破你的美好时光了。,自0]でも、そろそろその良い時間を破る時よ。,自0]But it has to be stopped.,自0]Nhưng giờ là lúc phá tan giây phút đẹp đẽ của cậu rồi.,
敌53]阿咧？,敌53]あら？,敌53]Excuse me?,敌53]Ái chả?,
自0]这种东西在妖怪身边集聚，会让妖怪暴走的喔。,自0]このようなモノが身に集うと、妖怪は暴走するのよ。,自0]It makes Youkai crazy.,"自0]Nếu cái thứ kiểu này tích tụ lên người yêu quái, sẽ khiến yêu quái cuồng loạn đấy.",
MUSIC,MUSIC,MUSIC,MUSIC,
敌55]原来是这样嘛？那真是很有趣呢。,敌55]そうだったの？それは面白いね。,敌55]So that's it? It's very interesting.,敌55]Té ra là như vậy sao? Vậy thì thật là rất thú vị đó.,
自0]看来已经失去理智了吗？,自0]理性すらも失ったか。,自0]Already losing your mind?,自0]Xem ra cậu đã đánh mất cả lý trí rồi sao?,
敌52]我一直在想怎样度过这令人愉快的夜晚……,敌52]こんなに愉快な夜をどう過ごせばいいか、ずっと考えてたの。,敌52]I've been thinking about a way to make this night better...,敌52]Tớ luôn nghĩ suốt là nên làm sao để trải qua buổi đêm khiến người ta khoái trá này…,
自0]再这样下去的话不制止不行了呢。,自0]このままでは止めなければならないね。,"自0]OK, this has to be stopped.",自0]Nếu mà tiếp tục như vậy nữa thì không ngăn cậu lại là không thể được rồi.,
敌52]果然，今晚也是满月呢……,敌52]やはり、今宵も満月…,"敌52]There's a full moon tonight, as I expected...","敌52]Quả nhiên, tối nay cũng là trăng tròn đó…",
敌54]当钟声响起的时候，宴会就要开始了！,敌54]鐘が鳴り響く時は、宴会の始まり！,"敌54]When the bell rings, the banquet will start!","敌54]Khi mà tiếng chuông vang lên, là yến hội sắp bắt đầu rồi!",
敌54]于是，就在这绯红的月色下举办一场华丽的弹幕祭典吧！,敌54]そして、緋色の月の下に華麗なる弾幕祭りを開催しよう！,"敌54]Then, let's start the grand danmaku festival under the scarlet moon!","敌54]Và thế, ngay dưới ánh trăng đỏ thắm này, hãy cử hành lễ hội đạn mạc hoa lệ đi!",
,,,,
d711.txt,,,,
敌61]呀，被发现了~！,敌61]ありゃ、見つけられた～,敌61]Oops. You found me~!,"敌61]Úi, bị phát hiện rùi~!",
自2]又是你啊，别在走廊里乱窜啊。,自2]またあんたか。廊下に走り回るな。,自2]You again? Please don't run in the hallway.,自2]Lại là ngươi à? Đừng có chạy tán loạn trong hành lang.,
敌60]因为总是没人陪我玩，只好自己玩了啦。,敌60]だれも付きあってくれないもん。だからひとり遊ぶの。,敌60]But nobody wants to play with me.,"敌60]Bởi vì lúc nào cũng chẳng ai chơi cùng ta, đành phải chơi một mình dzậy.",
自1]把走廊弄得这么乱，打扫的家伙肯定受不了辞职了吧。,自1]廊下をこんなに散らかしって、掃除係は辞職したいだろう。,自1]You trashed the hallway pretty badly... The cleaner must be at her wit's end.,"自1]Nghịch ngợm hành lanh cho loạn vầy, cô ả quét dọn chắc chắn chịu không nổi nữa mà từ chức mất.",
敌61]咲夜很能干的，每次都能扫得很干净。,敌61]咲夜はすごくやるよ、いつもきれいにするの。,敌61]Sakuya's very helpful. She cleans it up every time.,"敌61]Sakuya giỏi giang lắm, lần nào cũng dọn dẹp sạch sẽ được hết.",
自0]真想雇她来帮忙扫神社的后院啊，叶子多得烦死了。,自0]神社に雇いたいわよ、庭の落ち葉が多すぎったらありゃしない。,"自0]I should hire her to help clean up at the shrine, the fallen leaves are driving me crazy.","自0]Muốn được thuê cô này về giúp quét sân sau thần xã quá, lá rơi nhiều đến nỗi phiền chết rồi.",
敌62]神社是什么啊？,敌62]ジンジャってなに？,"敌62]What's a ""shrine""?","敌62]""Thần xã"" là cái gì vậy?",
自0]没见过吗，是供奉神灵的地方喔。,自0]知らない？神を祀るところよ。,自0]You don't know? It a holy place.,自0]Chưa từng thấy sao? Là nơi để cung phụng thần linh đấy.,
敌61]想去看看呢~,敌61]見たいな～,敌61]I wanna see it.,敌61]Muốn đi xem cơ~,
敌64]不过姐姐大人肯定会不高兴的……,敌64]でもお姉様は喜ばない…,敌64]But my sister wouldn't be happy about that...,敌64]Nhưng mà đại tỷ tỷ chắc chắn sẽ không vui…,
自1]何况你也出不去的吧。,自1]それに出られないよね。,"自1]And you can't go out, actually.",自1]Vả lại ngươi cũng đâu có được ra ngoài.,
敌61]所以只能让你陪我玩一下了。,敌61]だから遊んで！,"敌61]So play with me, would you?",敌61]Cho nên chỉ còn nước để ngươi chơi cùng ta một lát rồi.,
MUSIC,MUSIC,MUSIC,MUSIC,
自2]什么，又是捉迷藏吗？,自2]なんだ？またかくれんぼ？,"自2]What, hide-and-seek again?","自2]Cái gì, lại là chơi cút bắt sao?",
敌63]会比那个更有趣喔！,敌63]もっとおもしろいヤツよ！,敌63]Something better than that!,敌63]Sẽ càng thú vị hơn thế nhiều!,
敌61]那么开始吧！,敌61]始めよう！,敌61]Let's play!,敌61]Nào bắt đầu thôi!,
PAUSE,PAUSE,PAUSE,PAUSE,
敌61]虽然输了但是很开心呢！,敌61]負けたのに楽しい！,"敌61]I lose, but I'm happy!",敌61]Mặc dầu thua rồi nhưng ta vẫn rất là vui đó!,
自3]真是的，我都要困死了！,自3]まったく！こっちは眠いわよ！,自3]I...am...really...tired now!,"自3]Thiệt tình, ta cũng.. muốn.. mệt.. chết..  rồi!",
,,,,
d712.txt,,,,
敌61]总算有活人出现了！,敌61]ひさしぶりの生きる人間！,敌61]Finally! An actual living human showed up!,敌61]Cuối cùng cũng có 'người sống' xuất hiện rồi!,
自1]一上来就说这种话总觉得很不妙呢！,自1]いきなりやばいこと言った！,自1]I have a bad feeling about this!,"自1]Vừa lên là liền nói lời kiểu vậy, cảm thấy rất không ổn thế nào ấy!",
敌60]原来是认识的家伙啊~,敌60]知りあいだったか～,"敌60]Oh, it's you.",敌60]Té ra là người quen kìa~,
自0]本以为你记性会很差呢。,自0]記憶力ないと思った。,自0]I thought you wouldn't remember me.,自0]Những tưởng rằng trí nhớ ngươi sẽ rất kém cơ.,
敌60]能陪我玩的人一只手就能数清了。,敌60]遊んでくれるひとは、指おりで数えられるの。,敌60]I don't have a lot of people to play with.,敌60]Số người có thể chơi cùng ta chỉ đếm được trên đầu ngón tay thôi.,
自2]果然还只是个小孩子啊。,自2]やっぱ子どもじゃん。,自2]You're still a little girl.,自2]Quả nhiên vẫn chỉ là một đứa con nít.,
敌60]果然待在这里好寂寞啊，想出去。,敌60]ここはやっぱり寂しい。出たい。,"敌60]I feel so lonely here, I wanna go out.","敌60]Thực sự đợi ở nơi này hiu quạnh quá à, ta muốn ra ngoài.",
自4]不如我教你怎么溜出去~,自4]こっそり逃げ出す方法を教えてやろうか～,自4]Or I could teach you how to sneak out.,自4]Chi bằng ta dạy ngươi cách để lẻn ra ngoài~,
敌60]那样姐姐大人会惩罚我的。,敌60]お姉様におしおきされるよ。,敌60]My sister will punish me if I do that.,敌60]Như vậy đại tỷ tỷ sẽ trừng phạt ta đó.,
自0]只要不让她发现不就行了？,自0]バレなきゃよくねえ？,自0]Only if she finds out.,自0]Chỉ cần không để chị ấy phát hiện chẳng là được rồi?,
敌60]那是不可能的喔。,敌60]ムリだよ。,敌60]That's not possible.,敌60]Đó là điều bất khả thi đó.,
自1]真是个麻烦的姐姐啊……,自1]面倒くせえ姉だな…,自1]She is such an annoying sister...,自1]Thật là một bà chị phiền toái á…,
MUSIC,MUSIC,MUSIC,MUSIC,
敌61]于是再陪我玩一次吧！,敌61]そんでもってもう一回遊んで！,"敌61]So, play with me! Again!",敌61]Vậy nên chơi cùng ta một lần nữa đi!,
敌63]上次不小心让你赢了，这次不会让你得逞的喔。,敌63]前はうかっり負けちゃったけと、こんどは同じように行かないよ。,敌63]I let you win last time. It won't happen again.,"敌63]Lần trước không cẩn thận để ngươi thắng mất rồi, lần này sẽ không để ngươi được mặc sức đâu.",
自4]那可说不定喔。,自4]そうとは限らねえぜ。,自4]I'm not sure about that.,自4]Nói không biết chừng đâu đấy.,
PAUSE,PAUSE,PAUSE,PAUSE,
敌64]差一点就能赢了呢……,敌64]勝つところだったのに…,敌64]I just need to fight a little harder...,敌64]Thiếu chút nữa thì có thể thắng rồi…,
自2]愿赌服输吧。,自2]大人しく納得しな。,自2]Admit it.,自2]Dám cược thì dám chịu đi chứ.,
敌64]这样又要独自一人了。,敌64]またひとりぼっちになる…,敌64]I'm gonna be alone again.,敌64]Như vậy lại phải một thân một mình nữa rồi.,
,,,,
d713.txt,,,,
自2]奇怪，这里怎么还有这么多妖怪。,自2]おかしいね、どうしてまた沢山の妖怪がここに。,"自2]How strange, there are so many Youkai in this place.","自2]Kỳ quặc thật, nơi này làm sao còn có nhiều yêu quái như vậy.",
敌60]呀，活人出现了！,敌60]やあ、生きる人間見っけ！,敌60]Hey! A human!,"敌60]Úi, 'người sống' xuất hiện rồi!",
自2]什么情况，突然冒出来。,自2]どういうこと？突然現れて。,自2]What the heck?,自2]Vụ gì thế này? Đột nhiên nhô ra đây.,
敌60]我是住在这里的恶魔——芙兰朵露斯卡雷特。,敌60]ここに住む悪魔、フランドール・スカーレットよ。,敌60]I'm a devil and I live here. My name is Flandre Scarlet.,敌60]Ta là Flandre Scarlet - Ác ma trú ở nơi này.,
敌60]你是从哪儿来的呀？,敌60]どこから来たの？,敌60]Where are you from?,敌60]Ngươi đến từ đâu đó?,
自0]我是来自守矢神社的巫女，前来调查一下异变。,自0]守矢神社の巫女です。異変を調査しに参りました。,自0]I'm the miko of Moriya shrine. I'm here to investigate the incident.,"自0]Ta là Vu nữ đến từ Thủ Thỉ Thần Xã, tới điều tra dị biến một lát.",
敌62]诶，那是什么啊？,敌62]え、なにそれ？,敌62]Hey! What's that?,"敌62]Hể, đó là cái gì dzậy?",
自2]没见过吗……看来是被关在这里很久了嘛。,自2]知りません？…随分長い間ここに閉じ込められたに見えるわ。,自2]You've never seen one of these? You've probably been here for too long.,自2]Chưa từng thấy sao… Xem ra là bị nhốt ở nơi này rất lâu rồi.,
敌60]的确很久了，快500年了呢。,敌60]たしかに長かったね、もうすぐ500年か。,"敌60]Yes, I've been here for nearly 500 years.","敌60]Chính xác rất lâu rồi, gần 500 năm rồi đó.",
自2]这么久恐怕视力已经退化了吧。,自2]そんなに長くと、視力が退化したんだろう。,自2]Your vision must have dullened by now.,自2]Lâu như vậy thì e rằng thị lực đã thoái hóa rồi.,
敌62]视力又是什么呢？,敌62]シリョクってなに？,"敌62]What do you mean by ""vision""?",敌62]Thị lực lại là cái gì chứ?,
自2]看来你对外面的情况完全不知道啊。,自2]外のことは完全に知らなさそうね。,"自2]You really don't have a clue about the outside world, do you?",自2]Xem ra ngươi hoàn toàn không biết về tình hình bên ngoài à.,
敌60]我只想有人能陪我玩弹幕游戏啊。,敌60]弾幕ゲームに付きあうヒトが欲しかっただけ。,敌60]I just wish there was someone who could play danmaku games with me.,敌60]Ta chỉ muốn có người có thể cùng ta chơi trò chơi đạn mạc thôi.,
自0]现在沉迷游戏的人很多啊。,自0]ゲーム中毒者多いね、最近。,自0]There are a lot of addicts out there...,自0]Bây giờ người mà ghiền chơi game thì nhiều lắm.,
敌60]没有游戏，生活就没有乐趣了啊。,敌60]ノーゲーム、ノーライフよ。,"敌60]Without games, life is no fun at all.","敌60]Không có trò chơi, cuộc sống không còn niềm vui nữa.",
自3]真的是这样的吗？,自3]本当にそうなのか？,自3]Is that really true?,自3]Thiệt là như vậy sao?,
MUSIC,MUSIC,MUSIC,MUSIC,
敌60]于是来陪我玩吧！,敌60]そんで遊んで！,"敌60]So, come play with me!",敌60]Vì vậy hãy cùng ta chơi đi!,
自2]看来只能陪你玩咯。,自2]付き合うしかなさそうね。,自2]I guess I have no choice.,自2]Xem ra chỉ có thể cùng ngươi chơi nhể.,
PAUSE,PAUSE,PAUSE,PAUSE,
敌60]差一点就要赢了……,敌60]もう少しで勝ったのに…,敌60]So close to win...,敌60]Thiếu chút nữa thì ắt thắng rồi…,
敌60]这下又要开始无聊了呢。,敌60]またくだらない時間がはじまるよ。,敌60]I'm gonna get bored soon.,敌60]Phen này lại phải bắt đầu buồn tẻ nữa thôi.,
自0]多出去看看外面的世界吧。,自0]もっと外の世界に行こうよ。,自0]You should go out and see the world.,自0]Ngươi nên đi ngắm nhìn thế giới bên ngoài nhiều hơn đi.,
自0]这个世界可不只有游戏喔。,自0]この世界はゲームだけではないよ。,自0]There's a lot more to life than games.,自0]Cái thế giới này đâu chỉ có trò chơi không thôi đâu.,
,,,,
d714.txt,,,,
敌62]咦，是帕秋莉吗？,敌62]あれ、パチュリー？,"敌62]Is that you, Patchouli?","敌62]Ơ, là Patchouli sao?",
自0]看起来似乎没什么变化嘛。,自0]変化がなさそうね。,自0]You seem normal...,自0]Xem ra hình như không biến đổi gì.,
敌62]总觉得在说听不懂的话……,敌62]なんかわからない話…,敌62]I don't understand what you mean...,敌62]Ngươi đang nói chuyện ta nghe không hiểu thế nào ấy.,
自0]因为发生了那样的异变总觉得你会很危险呢。,自0]あんな異変が起こったから、何となく貴女が危険だと思える。,"自0]Well, there was a chance the incident could've affected you.","自0]Bởi vì đã xảy ra một dị biến như vậy, sao tôi cứ cảm thấy cô sẽ rất nguy hiểm thế nào ấy.",
敌61]异变是什么啊？,敌61]イヘンってなに？,"敌61]What is a ""Incident""?",敌61]Dị biến là cái gì á?,
自1]总之不是好玩的东西啦。,自1]しょせん、面白いモノではない。,"自1]In a word, it's something no fun.",自1]Ngắn gọn thì không phải là chuyện đùa vui đâu.,
敌60]那有什么好玩的吗？,敌60]じゃおもしろいモノある？,敌60]Is there anything fun around here for me to play with?,敌60]Vậy có cái gì để chơi vui không?,
